serie,group,ID,original,T_low_gain,T_high_gain,quiescent_current,voltage_gain,cutoff_frequency,current_slope,T150_aging
6.0,RSAN,RSAN01,True,35.6,72.6,5.00750271603465,27.06982024603939,509.1569100405037,0.0001054362013703,0.0
6.0,RSAN,RSAN02,True,35.6,70.0,5.024257767945528,26.964225859165424,527.0394621013326,0.000104673770771,0.0
6.0,RSAN,RSAN03,True,36.1,72.8,4.923922289162874,27.015290901745203,527.8657777109295,0.0001053098837403,0.0
6.0,RSAN,RSAN04,True,35.0,74.3,5.126084573566914,26.983706021898406,537.1031011177532,0.00010532516403,0.0
6.0,RSAN,RSAN05,True,36.0,73.5,5.027067754417655,26.94330378813221,512.9377819634904,0.0001035418130441,0.0
6.0,RSAN,RSAN06,True,36.0,72.4,5.070027243345975,26.88982218508903,488.0274620050167,0.0001045513104712,0.0
6.0,RSAN,RSAN07,True,36.0,72.7,4.981002211570738,26.930179882382976,535.3059331917141,0.0001049537578078,0.0
6.0,RSAN,RSAN08,True,35.6,72.3,4.839555546641352,26.853191095059334,515.5418973728841,0.0001025746216961,0.0
6.0,RSAN,RSAN09,True,35.6,73.8,5.136279389262198,26.93946367058482,501.8091573817202,0.0001052006687092,0.0
6.0,RSAN,RSAN10,True,35.6,72.2,5.049233976751563,26.91971336098546,508.78406863168254,0.0001055225765402,0.0
6.0,RSAN,RSAN11,True,35.8,73.7,4.995800834149122,26.993979134495685,524.9267682341815,0.0001044236812573,0.0
6.0,RSAN,RSAN12,True,35.7,72.6,5.035295896232128,26.8826345781023,519.5311118249489,0.0001048531547771,0.0
